name,glass,metal,paper,plastic,plastic-bag,barcode
피코크)초코프레첼80g,,,1,,1,
피코크)수고구마스틱50g,,,1,,,
피코크)두부과자고소한맛80g,,,,,1,
피코크)솜절미인절미맛스낵40g,,,,1,1,
피코크)솔트카라멜&크림치즈팝콘,,,1,,,
자주)달고나25g,,,,,1,
자주)명인이만든김부각40g,,,,,1,
자주)한입크기오란다120g,,,,,1,
자주)자색고구마맛미니뻥튀기45g,,,,,1,
자주)담백한맛미니뻥튀기45g,,,,,1,
자주)고소한김맛나150g,,,,,1,
자주)달콤바삭누룽지스낵60g,,,,,1,
자주)명인이만든연근부각40g,,,,,1,
e)빠다쿠키110g,,,,,1,
e)고소한짱이야135g,,,,,1,
e)민트초코팝콘75g,,,1,,,
e)졸음깨우는껌108g(용기),,,,1,,
e)달고나타르트38g,,,,,1,
아임이)신선함을그대로제주감귤500ml,,,,1,,
아임이)신선함을그대로알로에500ml,,,,1,,
아임이)신선함을그대로포도1.5L,,,,1,,
아임이)신선함을그대로오렌지1.5L,,,,1,,
아임이)신선함을그대로제주감귤1.5L,,,,1,,
아임이)신선함을그대로알로에1.5L,,,,1,,
아임이)하루이리터생수500ml,,,,1,,
아임이)하루이리터생수2L,,,,1,,
아임이)하루이리터생수1L,,,,1,,
아임이)하루e한컵우유300ml,,,1,,,
이프레쏘)핫아메리카노1000,,,,1,,
이프레쏘)아이스아메리카노1000,,,,1,,
이프레쏘)BIG아이스아메리카노,,,,1,,
이프레쏘)핫드립커피1000,,,,1,,
이프레쏘)아이스드립커피1000,,,,1,,
바리스타)HOT아메리카노(G2),,,1,1,,
바리스타)ICE아메리카노(G2),,,1,1,,
바리스타)HOT카페라떼(G2),,,1,1,,
바리스타)ICE카페라떼(G2),,,1,1,,
바리스타)HOT아메리카노(AA),,,1,1,,
바리스타)ICE아메리카노(AA),,,1,1,,
바리스타)HOT카페라떼(AA),,,1,1,,
바리스타)ICE카페라떼(AA),,,1,1,,
바리스타)HOT오렌지자몽블랙티,,,1,1,,
바리스타)ICE오렌지자몽블랙티,,,1,1,,
바리스타)HOT레몬얼그레이티,,,1,1,,
바리스타)ICE레몬얼그레이티,,,1,1,,
농협)아름찬채소미각30g,,,,,1,
농협)아름찬사과칩20g,,,,,1,
농협)아름찬달콤밤50g,,,,,1,
농협)아름찬볶음땅콩70g,,,,,1,
농협)우리쌀인절미스낵125g,,,,,1,
농협)검은콩인절미스낵125g,,,,,1,
